"CIDADE","UF"
"BOM JESUS","RIO GRANDE DO NORTE"
"BOM JESUS","RIO GRANDE DO SUL"
"BOM JESUS","SANTA CATARINA"
"BOM LUGAR","MARANHAO"
"BOM PRINCIPIO DO PIAUI","PIAUI"
"BOM PRINCIPIO","RIO GRANDE DO SUL"
"BOM PROGRESSO","RIO GRANDE DO SUL"
"BOM REPOUSO","MINAS GERAIS"
"BOM RETIRO DO SUL","RIO GRANDE DO SUL"
"BOM RETIRO","SANTA CATARINA"
"BOM SUCESSO DE ITARARE","SAO PAULO"
"BOM SUCESSO DO SUL","PARANA"
"BOM SUCESSO","MINAS GERAIS"
"BOM SUCESSO","PARAIBA"
"BOM SUCESSO","PARANA"
"BONFIM DO PIAUI","PIAUI"
"BONFIM","MINAS GERAIS"
"BONFIM","RORAIMA"
"BONFINOPOLIS DE MINAS","MINAS GERAIS"
"BONFINOPOLIS","GOIAS"
"BONINAL","BAHIA"
"BONITO DE MINAS","MINAS GERAIS"
"BONITO DE SANTA FE","PARAIBA"
"BONITO","BAHIA"
"BONITO","MATO GROSSO DO SUL"
"BONITO","PARA"
"BONITO","PERNAMBUCO"
"BONOPOLIS","GOIAS"
"BOQUEIRAO DO LEAO","RIO GRANDE DO SUL"
"BOQUEIRAO DO PIAUI","PIAUI"
"BOQUEIRAO","PARAIBA"
"BOQUIM","SERGIPE"
"BOQUIRA","BAHIA"
"BORACEIA","SAO PAULO"
"BORA","SAO PAULO"
"BORBA","AMAZONAS"
"BORBOREMA","PARAIBA"
"BORBOREMA","SAO PAULO"
"BORDA DA MATA","MINAS GERAIS"
"BOREBI","SAO PAULO"
"BORRAZOPOLIS","PARANA"
"BOSSOROCA","RIO GRANDE DO SUL"
"BOTELHOS","MINAS GERAIS"
"BOTUCATU","SAO PAULO"
"BOTUMIRIM","MINAS GERAIS"
"BOTUPORA","BAHIA"
"BOTUVERA","SANTA CATARINA"
"BOZANO","RIO GRANDE DO SUL"
"BRACO DO NORTE","SANTA CATARINA"
"BRACO DO TROMBUDO","SANTA CATARINA"
"BRAGANCA PAULISTA","SAO PAULO"
"BRAGANCA","PARA"
"BRAGANEY","PARANA"
"BRAGA","RIO GRANDE DO SUL"
"BRANQUINHA","ALAGOAS"
"BRASILANDIA DE MINAS","MINAS GERAIS"
"BRASILANDIA DO SUL","PARANA"
"BRASILANDIA DO TOCANTINS","TOCANTINS"
"BRASILANDIA","MATO GROSSO DO SUL"
"BRASILEIA","ACRE"
"BRASILEIRA","PIAUI"
"BRASILIA DE MINAS","MINAS GERAIS"
"BRASILIA","DISTRITO FEDERAL"
"BRASIL NOVO","PARA"
"BRASNORTE","MATO GROSSO"
"BRASOPOLIS","MINAS GERAIS"
"BRAS PIRES","MINAS GERAIS"
"BRAUNA","SAO PAULO"
"BRAUNAS","MINAS GERAIS"
"BRAZABRANTES","GOIAS"
"BREJAO","PERNAMBUCO"
"BREJETUBA","ESPIRITO SANTO"
"BREJINHO DE NAZARE","TOCANTINS"
"BREJINHO","PERNAMBUCO"
"BREJINHO","RIO GRANDE DO NORTE"
"BREJO ALEGRE","SAO PAULO"
"BREJO DA MADRE DE DEUS","PERNAMBUCO"
"BREJO DE AREIA","MARANHAO"
"BREJO DO CRUZ","PARAIBA"
"BREJO DO PIAUI","PIAUI"
"BREJO DOS SANTOS","PARAIBA"
"BREJOES","BAHIA"
"BREJO GRANDE DO ARAGUAIA","PARA"
"BREJO GRANDE","SERGIPE"
"BREJOLANDIA","BAHIA"
"BREJO SANTO","CEARA"
"BREJO","MARANHAO"
"BREU BRANCO","PARA"
"BREVES","PARA"
"BRITANIA","GOIAS"
"BROCHIER","RIO GRANDE DO SUL"
"BRODOWSKI","SAO PAULO"
"BROTAS DE MACAUBAS","BAHIA"
"BROTAS","SAO PAULO"
"BRUMADINHO","MINAS GERAIS"
"BRUMADO","BAHIA"
"BRUNOPOLIS","SANTA CATARINA"
"BRUSQUE","SANTA CATARINA"
"BUENO BRANDAO","MINAS GERAIS"
"BUENOPOLIS","MINAS GERAIS"
"BUENOS AIRES","PERNAMBUCO"
"BUERAREMA","BAHIA"
"BUGRE","MINAS GERAIS"
"BUIQUE","PERNAMBUCO"
"BUJARI","ACRE"
"BUJARU","PARA"
"BURI","SAO PAULO"
"BURITAMA","SAO PAULO"
"BURITI ALEGRE","GOIAS"
"BURITI BRAVO","MARANHAO"
"BURITICUPU","MARANHAO"
"BURITI DE GOIAS","GOIAS"
"BURITI DOS LOPES","PIAUI"
"BURITI DOS MONTES","PIAUI"
"BURITI DO TOCANTINS","TOCANTINS"
"BURITINOPOLIS","GOIAS"
"BURITIRAMA","BAHIA"
"BURITIRANA","MARANHAO"
"BURITI","MARANHAO"
"BURITIS","MINAS GERAIS"
"BURITIS","RONDONIA"
"BURITIZAL","SAO PAULO"
"BURITIZEIRO","MINAS GERAIS"
"BUTIA","RIO GRANDE DO SUL"
"CAAPIRANGA","AMAZONAS"
"CAAPORA","PARAIBA"
"CAARAPO","MATO GROSSO DO SUL"
"CAATIBA","BAHIA"
"CABACEIRAS DO PARAGUACU","BAHIA"
"CABACEIRAS","PARAIBA"
"CABECEIRA GRANDE","MINAS GERAIS"
"CABECEIRAS DO PIAUI","PIAUI"
"CABECEIRAS","GOIAS"
"CABEDELO","PARAIBA"
"CABIXI","RONDONIA"
"CABO DE SANTO AGOSTINHO","PERNAMBUCO"
"CABO FRIO","RIO DE JANEIRO"
"CABO VERDE","MINAS GERAIS"
"CABRALIA PAULISTA","SAO PAULO"
"CABREUVA","SAO PAULO"
"CABROBO","PERNAMBUCO"
"CACADOR","SANTA CATARINA"
"CACAPAVA DO SUL","RIO GRANDE DO SUL"
"CACAPAVA","SAO PAULO"
"CACAULANDIA","RONDONIA"
"CACEQUI","RIO GRANDE DO SUL"
"CACERES","MATO GROSSO"
"CACHOEIRA ALTA","GOIAS"
"CACHOEIRA DA PRATA","MINAS GERAIS"
"CACHOEIRA DE GOIAS","GOIAS"
"CACHOEIRA DE MINAS","MINAS GERAIS"
"CACHOEIRA DE PAJEU","MINAS GERAIS"
"CACHOEIRA DO ARARI","PARA"
"CACHOEIRA DO PIRIA","PARA"
"CACHOEIRA DOS INDIOS","PARAIBA"
"CACHOEIRA DO SUL","RIO GRANDE DO SUL"
"CACHOEIRA DOURADA","GOIAS"
"CACHOEIRA DOURADA","MINAS GERAIS"
"CACHOEIRA GRANDE","MARANHAO"
"CACHOEIRA PAULISTA","SAO PAULO"
"CACHOEIRAS DE MACACU","RIO DE JANEIRO"
"CACHOEIRA","BAHIA"
"CACHOEIRINHA","PERNAMBUCO"
"CACHOEIRINHA","RIO GRANDE DO SUL"
"CACHOEIRINHA","TOCANTINS"
"CACHOEIRO DE ITAPEMIRIM","ESPIRITO SANTO"
"CACIMBA DE AREIA","PARAIBA"
"CACIMBA DE DENTRO","PARAIBA"
"CACIMBAS","PARAIBA"
"CACIMBINHAS","ALAGOAS"
"CACIQUE DOBLE","RIO GRANDE DO SUL"
"CACOAL","RONDONIA"
"CACONDE","SAO PAULO"
"CACULE","BAHIA"
"CACU","GOIAS"
"CAEM","BAHIA"
"CAETANOPOLIS","MINAS GERAIS"
"CAETANOS","BAHIA"
"CAETE","MINAS GERAIS"
"CAETES","PERNAMBUCO"
"CAETITE","BAHIA"
"CAFARNAUM","BAHIA"
"CAFEARA","PARANA"
"CAFELANDIA","PARANA"
"CAFELANDIA","SAO PAULO"
"CAFEZAL DO SUL","PARANA"
"CAIABU","SAO PAULO"
"CAIANA","MINAS GERAIS"
"CAIAPONIA","GOIAS"
"CAIBATE","RIO GRANDE DO SUL"
"CAIBI","SANTA CATARINA"
"CAICARA DO NORTE","RIO GRANDE DO NORTE"
"CAICARA DO RIO DO VENTO","RIO GRANDE DO NORTE"
"CAICARA","PARAIBA"
"CAICARA","RIO GRANDE DO SUL"
"CAICO","RIO GRANDE DO NORTE"
"CAIEIRAS","SAO PAULO"
"CAIRU","BAHIA"
"CAIUA","SAO PAULO"
"CAJAMAR","SAO PAULO"
"CAJAPIO","MARANHAO"
"CAJARI","MARANHAO"
"CAJATI","SAO PAULO"
"CAJAZEIRAS DO PIAUI","PIAUI"
"CAJAZEIRAS","PARAIBA"
"CAJAZEIRINHAS","PARAIBA"
"CAJOBI","SAO PAULO"
"CAJUEIRO DA PRAIA","PIAUI"
"CAJUEIRO","ALAGOAS"
"CAJURI","MINAS GERAIS"
"CAJURU","SAO PAULO"
"CALCADO","PERNAMBUCO"
"CALCOENE","AMAPA"
"CALDAS BRANDAO","PARAIBA"
"CALDAS NOVAS","GOIAS"
"CALDAS","MINAS GERAIS"
"CALDAZINHA","GOIAS"
"CALDEIRAO GRANDE DO PIAUI","PIAUI"
"CALDEIRAO GRANDE","BAHIA"
"CALIFORNIA","PARANA"
"CALMON","SANTA CATARINA"
"CALUMBI","PERNAMBUCO"
"CAMACAN","BAHIA"
"CAMACARI","BAHIA"
"CAMACHO","MINAS GERAIS"
"CAMALAU","PARAIBA"
"CAMAMU","BAHIA"
"CAMANDUCAIA","MINAS GERAIS"
"CAMAPUA","MATO GROSSO DO SUL"
"CAMAQUA","RIO GRANDE DO SUL"
"CAMARAGIBE","PERNAMBUCO"
"CAMARGO","RIO GRANDE DO SUL"
"CAMBARA DO SUL","RIO GRANDE DO SUL"
"CAMBARA","PARANA"
"CAMBE","PARANA"
"CAMBIRA","PARANA"
"CAMBORIU","SANTA CATARINA"
"CAMBUCI","RIO DE JANEIRO"
"CAMBUI","MINAS GERAIS"
"CAMBUQUIRA","MINAS GERAIS"
"CAMETA","PARA"
"CAMOCIM DE SAO FELIX","PERNAMBUCO"
"CAMOCIM","CEARA"
"CAMPANARIO","MINAS GERAIS"
"CAMPANHA","MINAS GERAIS"
"CAMPESTRE DA SERRA","RIO GRANDE DO SUL"
"CAMPESTRE DE GOIAS","GOIAS"
"CAMPESTRE DO MARANHAO","MARANHAO"
"CAMPESTRE","ALAGOAS"
"CAMPESTRE","MINAS GERAIS"
"CAMPINACU","GOIAS"
"CAMPINA DA LAGOA","PARANA"
"CAMPINA DAS MISSOES","RIO GRANDE DO SUL"
"CAMPINA DO MONTE ALEGRE","SAO PAULO"
"CAMPINA DO SIMAO","PARANA"
"CAMPINA GRANDE DO SUL","PARANA"
"CAMPINA GRANDE","PARAIBA"
"CAMPINAPOLIS","MATO GROSSO"
"CAMPINAS DO PIAUI","PIAUI"
"CAMPINAS DO SUL","RIO GRANDE DO SUL"
"CAMPINAS","SAO PAULO"
"CAMPINA VERDE","MINAS GERAIS"
"CAMPINORTE","GOIAS"
"CAMPO ALEGRE DE GOIAS","GOIAS"
"CAMPO ALEGRE DE LOURDES","BAHIA"
"CAMPO ALEGRE DO FIDALGO","PIAUI"
"CAMPO ALEGRE","ALAGOAS"
"CAMPO ALEGRE","SANTA CATARINA"
"CAMPO AZUL","MINAS GERAIS"
"CAMPO BELO DO SUL","SANTA CATARINA"
"CAMPO BELO","MINAS GERAIS"
"CAMPO BOM","RIO GRANDE DO SUL"
"CAMPO BONITO","PARANA"
"CAMPO DE SANTANA","PARAIBA"
"CAMPO DO BRITO","SERGIPE"
"CAMPO DO MEIO","MINAS GERAIS"
"CAMPO DO TENENTE","PARANA"
"CAMPO ERE","SANTA CATARINA"
"CAMPO FLORIDO","MINAS GERAIS"
"CAMPO FORMOSO","BAHIA"
"CAMPO GRANDE DO PIAUI","PIAUI"
"CAMPO GRANDE","ALAGOAS"
"CAMPO GRANDE","MATO GROSSO DO SUL"
"CAMPO LARGO DO PIAUI","PIAUI"
"CAMPO LARGO","PARANA"
"CAMPO LIMPO DE GOIAS","GOIAS"
"CAMPO LIMPO PAULISTA","SAO PAULO"
"CAMPO MAGRO","PARANA"
"CAMPO MAIOR","PIAUI"
"CAMPO MOURAO","PARANA"
"CAMPO NOVO DE RONDONIA","RONDONIA"
"CAMPO NOVO DO PARECIS","MATO GROSSO"
"CAMPO NOVO","RIO GRANDE DO SUL"
"CAMPO REDONDO","RIO GRANDE DO NORTE"
"CAMPOS ALTOS","MINAS GERAIS"
"CAMPOS BELOS","GOIAS"
"CAMPOS BORGES","RIO GRANDE DO SUL"
"CAMPOS DE JULIO","MATO GROSSO"
"CAMPOS DO JORDAO","SAO PAULO"
"CAMPOS DOS GOYTACAZES","RIO DE JANEIRO"
"CAMPOS GERAIS","MINAS GERAIS"
"CAMPOS LINDOS","TOCANTINS"
"CAMPOS NOVOS PAULISTA","SAO PAULO"
"CAMPOS NOVOS","SANTA CATARINA"
"CAMPOS SALES","CEARA"
"CAMPOS VERDES","GOIAS"
"CAMPO VERDE","MATO GROSSO"
"CAMUTANGA","PERNAMBUCO"
"CANAA DOS CARAJAS","PARA"
"CANAA","MINAS GERAIS"
"CANABRAVA DO NORTE","MATO GROSSO"
"CANANEIA","SAO PAULO"
"CANAPI","ALAGOAS"
"CANAPOLIS","BAHIA"
"CANAPOLIS","MINAS GERAIS"
"CANARANA","BAHIA"
"CANARANA","MATO GROSSO"
"CANAS","SAO PAULO"
"CANA VERDE","MINAS GERAIS"
"CANAVIEIRA","PIAUI"
"CANAVIEIRAS","BAHIA"
"CANDEAL","BAHIA"
"CANDEIAS DO JAMARI","RONDONIA"
"CANDEIAS","BAHIA"
"CANDEIAS","MINAS GERAIS"
"CANDELARIA","RIO GRANDE DO SUL"
"CANDIBA","BAHIA"
"CANDIDO DE ABREU","PARANA"
"CANDIDO GODOI","RIO GRANDE DO SUL"
"CANDIDO MENDES","MARANHAO"
"CANDIDO MOTA","SAO PAULO"
"CANDIDO RODRIGUES","SAO PAULO"
"CANDIDO SALES","BAHIA"
"CANDIOTA","RIO GRANDE DO SUL"
"CANDOI","PARANA"
"CANELA","RIO GRANDE DO SUL"
"CANELINHA","SANTA CATARINA"
"CANGUARETAMA","RIO GRANDE DO NORTE"
"CANGUCU","RIO GRANDE DO SUL"
"CANHOBA","SERGIPE"
"CANHOTINHO","PERNAMBUCO"
"CANINDE DE SAO FRANCISCO","SERGIPE"
"CANINDE","CEARA"
"CANITAR","SAO PAULO"
"CANOAS","RIO GRANDE DO SUL"
"CANOINHAS","SANTA CATARINA"
"CANSANCAO","BAHIA"
"CANTAGALO","MINAS GERAIS"
"CANTAGALO","PARANA"
"CANTAGALO","RIO DE JANEIRO"
"CANTANHEDE","MARANHAO"
"CANTA","RORAIMA"
"CANTO DO BURITI","PIAUI"
"CANUDOS DO VALE","RIO GRANDE DO SUL"
"CANUDOS","BAHIA"
"CANUTAMA","AMAZONAS"
"CAPANEMA","PARA"
"CAPANEMA","PARANA"
"CAPAO ALTO","SANTA CATARINA"
"CAPAO BONITO DO SUL","RIO GRANDE DO SUL"
"CAPAO BONITO","SAO PAULO"
"CAPAO DA CANOA","RIO GRANDE DO SUL"
"CAPAO DO CIPO","RIO GRANDE DO SUL"
"CAPAO DO LEAO","RIO GRANDE DO SUL"
"CAPARAO","MINAS GERAIS"
"CAPELA DE SANTANA","RIO GRANDE DO SUL"
"CAPELA DO ALTO ALEGRE","BAHIA"
"CAPELA DO ALTO","SAO PAULO"
"CAPELA NOVA","MINAS GERAIS"
"CAPELA","ALAGOAS"
"CAPELA","SERGIPE"
"CAPELINHA","MINAS GERAIS"
"CAPETINGA","MINAS GERAIS"
"CAPIM BRANCO","MINAS GERAIS"
"CAPIM GROSSO","BAHIA"
"CAPIM","PARAIBA"
"CAPINOPOLIS","MINAS GERAIS"
"CAPINZAL DO NORTE","MARANHAO"
"CAPINZAL","SANTA CATARINA"
"CAPISTRANO","CEARA"
"CAPITAO ANDRADE","MINAS GERAIS"
"CAPITAO DE CAMPOS","PIAUI"
"CAPITAO ENEAS","MINAS GERAIS"
"CAPITAO GERVASIO OLIVEIRA","PIAUI"
"CAPITAO LEONIDAS MARQUES","PARANA"
"CAPITAO POCO","PARA"
"CAPITAO","RIO GRANDE DO SUL"
"CAPITOLIO","MINAS GERAIS"
"CAPIVARI DE BAIXO","SANTA CATARINA"
"CAPIVARI DO SUL","RIO GRANDE DO SUL"
"CAPIVARI","SAO PAULO"
"CAPIXABA","ACRE"
"CAPOEIRAS","PERNAMBUCO"
"CAPUTIRA","MINAS GERAIS"
"CARAA","RIO GRANDE DO SUL"
"CARACARAI","RORAIMA"
"CARACOL","MATO GROSSO DO SUL"
"CARACOL","PIAUI"
"CARAGUATATUBA","SAO PAULO"
"CARAIBAS","BAHIA"
"CARAI","MINAS GERAIS"
"CARAMBEI","PARANA"
"CARANAIBA","MINAS GERAIS"
"CARANDAI","MINAS GERAIS"
"CARANGOLA","MINAS GERAIS"
"CARAPEBUS","RIO DE JANEIRO"
"CARAPICUIBA","SAO PAULO"
"CARATINGA","MINAS GERAIS"
"CARAUARI","AMAZONAS"
"CARAUBAS DO PIAUI","PIAUI"
"CARAUBAS","PARAIBA"
"CARAUBAS","RIO GRANDE DO NORTE"
"CARAVELAS","BAHIA"
"CARAZINHO","RIO GRANDE DO SUL"
"CARBONITA","MINAS GERAIS"
"CARDEAL DA SILVA","BAHIA"
"CARDOSO MOREIRA","RIO DE JANEIRO"
"CARDOSO","SAO PAULO"
"CAREACU","MINAS GERAIS"
"CAREIRO DA VARZEA","AMAZONAS"
"CAREIRO","AMAZONAS"
"CARIACICA","ESPIRITO SANTO"
"CARIDADE DO PIAUI","PIAUI"
"CARIDADE","CEARA"
"CARINHANHA","BAHIA"
"CARIRA","SERGIPE"
"CARIRE","CEARA"
"CARIRIACU","CEARA"
"CARIRI DO TOCANTINS","TOCANTINS"
"CARIUS","CEARA"
"CARLINDA","MATO GROSSO"
"CARLOPOLIS","PARANA"
"CARLOS BARBOSA","RIO GRANDE DO SUL"
"CARLOS CHAGAS","MINAS GERAIS"
"CARLOS GOMES","RIO GRANDE DO SUL"
"CARMESIA","MINAS GERAIS"
"CARMO DA CACHOEIRA","MINAS GERAIS"
"CARMO DA MATA","MINAS GERAIS"
"CARMO DE MINAS","MINAS GERAIS"
"CARMO DO CAJURU","MINAS GERAIS"
"CARMO DO PARANAIBA","MINAS GERAIS"
"CARMO DO RIO CLARO","MINAS GERAIS"
"CARMO DO RIO VERDE","GOIAS"
"CARMOLANDIA","TOCANTINS"
"CARMOPOLIS DE MINAS","MINAS GERAIS"
"CARMOPOLIS","SERGIPE"
"CARMO","RIO DE JANEIRO"
"CARNAIBA","PERNAMBUCO"
"CARNAUBA DOS DANTAS","RIO GRANDE DO NORTE"
"CARNAUBAIS","RIO GRANDE DO NORTE"
"CARNAUBAL","CEARA"
"CARNAUBEIRA DA PENHA","PERNAMBUCO"
"CARNEIRINHO","MINAS GERAIS"
"CARNEIROS","ALAGOAS"
"CAROEBE","RORAIMA"
"CAROLINA","MARANHAO"
"CARPINA","PERNAMBUCO"
"CARRANCAS","MINAS GERAIS"
"CARRAPATEIRA","PARAIBA"
"CARRASCO BONITO","TOCANTINS"
"CARUARU","PERNAMBUCO"
"CARUTAPERA","MARANHAO"
"CARVALHOPOLIS","MINAS GERAIS"
"CARVALHOS","MINAS GERAIS"
"CASA BRANCA","SAO PAULO"
"CASA GRANDE","MINAS GERAIS"
"CASA NOVA","BAHIA"
"CASCALHO RICO","MINAS GERAIS"
"CASCA","RIO GRANDE DO SUL"
"CASCAVEL","CEARA"
"CASCAVEL","PARANA"
"CASEARA","TOCANTINS"
"CASEIROS","RIO GRANDE DO SUL"
"CASIMIRO DE ABREU","RIO DE JANEIRO"
"CASINHAS","PERNAMBUCO"
"CASSERENGUE","PARAIBA"
"CASSIA DOS COQUEIROS","SAO PAULO"
"CASSIA","MINAS GERAIS"
"CASSILANDIA","MATO GROSSO DO SUL"
"CASTANHAL","PARA"
"CASTANHEIRA","MATO GROSSO"
"CASTANHEIRAS","RONDONIA"
"CASTELANDIA","GOIAS"
"CASTELO DO PIAUI","PIAUI"
"CASTELO","ESPIRITO SANTO"
"CASTILHO","SAO PAULO"
"CASTRO ALVES","BAHIA"
"CASTRO","PARANA"
"CATAGUASES","MINAS GERAIS"
"CATALAO","GOIAS"
"CATANDUVA","SAO PAULO"
"CATANDUVAS","PARANA"
"CATANDUVAS","SANTA CATARINA"
"CATARINA","CEARA"
"CATAS ALTAS DA NORUEGA","MINAS GERAIS"
"CATAS ALTAS","MINAS GERAIS"
"CATENDE","PERNAMBUCO"
"CATIGUA","SAO PAULO"
"CATINGUEIRA","PARAIBA"
"CATOLANDIA","BAHIA"
"CATOLE DO ROCHA","PARAIBA"
"CATUIPE","RIO GRANDE DO SUL"
"CATUJI","MINAS GERAIS"
"CATUNDA","CEARA"
"CATURAI","GOIAS"
"CATURAMA","BAHIA"
"CATURITE","PARAIBA"
"CATU","BAHIA"
"CATUTI","MINAS GERAIS"
"CAUCAIA","CEARA"
"CAVALCANTE","GOIAS"
"CAXAMBU DO SUL","SANTA CATARINA"
"CAXAMBU","MINAS GERAIS"
"CAXIAS DO SUL","RIO GRANDE DO SUL"
"CAXIAS","MARANHAO"
"CAXINGO","PIAUI"
"CEARA-MIRIM","RIO GRANDE DO NORTE"
"CEDRAL","MARANHAO"
"CEDRAL","SAO PAULO"
"CEDRO DE SAO JOAO","SERGIPE"
"CEDRO DO ABAETE","MINAS GERAIS"
"CEDRO","CEARA"
"CEDRO","PERNAMBUCO"
"CELSO RAMOS","SANTA CATARINA"
"CENTENARIO DO SUL","PARANA"
"CENTENARIO","RIO GRANDE DO SUL"
"CENTENARIO","TOCANTINS"
"CENTRAL DE MINAS","MINAS GERAIS"
"CENTRAL DO MARANHAO","MARANHAO"
"CENTRALINA","MINAS GERAIS"
"CENTRAL","BAHIA"
"CENTRO DO GUILHERME","MARANHAO"
"CENTRO NOVO DO MARANHAO","MARANHAO"
"CEREJEIRAS","RONDONIA"
"CERES","GOIAS"
"CERQUEIRA CESAR","SAO PAULO"
"CERQUILHO","SAO PAULO"
"CERRITO","RIO GRANDE DO SUL"
"CERRO AZUL","PARANA"
"CERRO BRANCO","RIO GRANDE DO SUL"
"CERRO CORA","RIO GRANDE DO NORTE"
"CERRO GRANDE DO SUL","RIO GRANDE DO SUL"
"CERRO GRANDE","RIO GRANDE DO SUL"
"CERRO LARGO","RIO GRANDE DO SUL"
"CERRO NEGRO","SANTA CATARINA"
"CESARIO LANGE","SAO PAULO"
"CEU AZUL","PARANA"
"CEZARINA","GOIAS"
"CHACARA","MINAS GERAIS"
"CHA DE ALEGRIA","PERNAMBUCO"
"CHA GRANDE","PERNAMBUCO"
"CHALE","MINAS GERAIS"
"CHAPADA DA NATIVIDADE","TOCANTINS"
"CHAPADA DE AREIA","TOCANTINS"
"CHAPADA DO NORTE","MINAS GERAIS"
"CHAPADA DOS GUIMARAES","MATO GROSSO"
"CHAPADA GAUCHA","MINAS GERAIS"
"CHAPADAO DO CEU","GOIAS"
"CHAPADAO DO LAGEADO","SANTA CATARINA"
"CHAPADAO DO SUL","MATO GROSSO DO SUL"
"CHAPADA","RIO GRANDE DO SUL"
"CHAPADINHA","MARANHAO"
"CHAPECO","SANTA CATARINA"
"CHA PRETA","ALAGOAS"
"CHARQUEADA","SAO PAULO"
"CHARQUEADAS","RIO GRANDE DO SUL"
"CHARRUA","RIO GRANDE DO SUL"
"CHAVAL","CEARA"
"CHAVANTES","SAO PAULO"
"CHAVES","PARA"
"CHIADOR","MINAS GERAIS"
"CHIAPETTA","RIO GRANDE DO SUL"
"CHOPINZINHO","PARANA"
"CHORO","CEARA"
"CHOROZINHO","CEARA"
"CHORROCHO","BAHIA"
"CHUI","RIO GRANDE DO SUL"
"CHUPINGUAIA","RONDONIA"
"CHUVISCA","RIO GRANDE DO SUL"
"CIANORTE","PARANA"
"CICERO DANTAS","BAHIA"
"CIDADE GAUCHA","PARANA"
"CIDADE OCIDENTAL","GOIAS"
"CIDELANDIA","MARANHAO"
"CIDREIRA","RIO GRANDE DO SUL"
"CIPO","BAHIA"
"CIPOTANEA","MINAS GERAIS"
"CIRIACO","RIO GRANDE DO SUL"
"CLARAVAL","MINAS GERAIS"
"CLARO DOS POCOES","MINAS GERAIS"
"CLAUDIA","MATO GROSSO"
"CLAUDIO","MINAS GERAIS"
"CLEMENTINA","SAO PAULO"
"CLEVELANDIA","PARANA"
"COARACI","BAHIA"
"COARI","AMAZONAS"
"COCAL DE TELHA","PIAUI"
"COCAL DOS ALVES","PIAUI"
"COCAL DO SUL","SANTA CATARINA"
"COCALINHO","MATO GROSSO"
"COCAL","PIAUI"
"COCALZINHO DE GOIAS","GOIAS"
"COCOS","BAHIA"
"CODAJAS","AMAZONAS"
"CODO","MARANHAO"
"COELHO NETO","MARANHAO"
"COIMBRA","MINAS GERAIS"
"COITE DO NOIA","ALAGOAS"
"COIVARAS","PIAUI"
"COLARES","PARA"
"COLATINA","ESPIRITO SANTO"
"COLIDER","MATO GROSSO"
"COLINAS DO SUL","GOIAS"
"COLINAS DO TOCANTINS","TOCANTINS"
"COLINA","SAO PAULO"
"COLINAS","MARANHAO"
"COLINAS","RIO GRANDE DO SUL"
"COLMEIA","TOCANTINS"
"COLNIZA","MATO GROSSO"
"COLOMBIA","SAO PAULO"
"COLOMBO","PARANA"
"COLONIA DO GURGUEIA","PIAUI"
"COLONIA DO PIAUI","PIAUI"
"COLONIA LEOPOLDINA","ALAGOAS"
"COLORADO DO OESTE","RONDONIA"
"COLORADO","PARANA"
"COLORADO","RIO GRANDE DO SUL"
"COLUNA","MINAS GERAIS"
"COMBINADO","TOCANTINS"
"COMENDADOR GOMES","MINAS GERAIS"
"COMENDADOR LEVY GASPARIAN","RIO DE JANEIRO"
"COMERCINHO","MINAS GERAIS"
"COMODORO","MATO GROSSO"
"CONCEICAO DA APARECIDA","MINAS GERAIS"
"CONCEICAO DA BARRA DE MINAS","MINAS GERAIS"
"CONCEICAO DA BARRA","ESPIRITO SANTO"
"CONCEICAO DA FEIRA","BAHIA"
"CONCEICAO DAS ALAGOAS","MINAS GERAIS"
"CONCEICAO DAS PEDRAS","MINAS GERAIS"
"CONCEICAO DE IPANEMA","MINAS GERAIS"
"CONCEICAO DE MACABU","RIO DE JANEIRO"
"CONCEICAO DO ALMEIDA","BAHIA"
"CONCEICAO DO ARAGUAIA","PARA"
"CONCEICAO DO CANINDE","PIAUI"
"CONCEICAO DO CASTELO","ESPIRITO SANTO"
"CONCEICAO DO COITE","BAHIA"
"CONCEICAO DO JACUIPE","BAHIA"
"CONCEICAO DO LAGO-ACU","MARANHAO"
"CONCEICAO DO MATO DENTRO","MINAS GERAIS"
"CONCEICAO DO PARA","MINAS GERAIS"
"CONCEICAO DO RIO VERDE","MINAS GERAIS"
"CONCEICAO DOS OUROS","MINAS GERAIS"
"CONCEICAO DO TOCANTINS","TOCANTINS"
"CONCEICAO","PARAIBA"
"CONCHAL","SAO PAULO"
"CONCHAS","SAO PAULO"
"CONCORDIA DO PARA","PARA"
"CONCORDIA","SANTA CATARINA"
"CONDADO","PARAIBA"
"CONDADO","PERNAMBUCO"
"CONDE","BAHIA"
"CONDE","PARAIBA"
"CONDEUBA","BAHIA"
"CONDOR","RIO GRANDE DO SUL"
"CONEGO MARINHO","MINAS GERAIS"
"CONFINS","MINAS GERAIS"
"CONFRESA","MATO GROSSO"
"CONGONHAL","MINAS GERAIS"
"CONGONHAS DO NORTE","MINAS GERAIS"
"CONGONHAS","MINAS GERAIS"
"CONGONHINHAS","PARANA"
"CONGO","PARAIBA"
"CONQUISTA D""OESTE","MATO GROSSO"
"CONQUISTA","MINAS GERAIS"
"CONSELHEIRO LAFAIETE","MINAS GERAIS"
"CONSELHEIRO MAIRINCK","PARANA"
"CONSELHEIRO PENA","MINAS GERAIS"
"CONSOLACAO","MINAS GERAIS"
"CONSTANTINA","RIO GRANDE DO SUL"
"CONTAGEM","MINAS GERAIS"
"CONTENDAS DO SINCORA","BAHIA"
"CONTENDA","PARANA"
